department,year,filename,bytes,sha256,source_url,ref_page,status
Analytical Chemistry,2026,C:\Projects\Websites\New Cume Sorting\exams\Analytical Chemistry\2026\Analytical_Chemistry_Cume_2026-02-13.pdf,1001340,848be179eb8c0443b4671476f5a74700f1fb6e20c866c8339a5e9e0afbbed009,https://libguides.uark.edu/ld.php?content_id=84049267,https://libguides.uark.edu/chbc-cumes/AnalyticalChemistry,skipped_exists
Biochemistry,2026,C:\Projects\Websites\New Cume Sorting\exams\Biochemistry\2026\Biochemistry_Cume_2026-02-13.pdf,111060,8e80a00152f2b0cbf507e7d033fd9c3d6416bdc66a5a7ba894d4cebb3ca55644,https://libguides.uark.edu/ld.php?content_id=84051243,https://libguides.uark.edu/chbc-cumes/Biochemistry,skipped_exists
Inorganic Chemistry,2026,C:\Projects\Websites\New Cume Sorting\exams\Inorganic Chemistry\2026\Inorganic_Chemistry_Cume_2026-02-13.pdf,116556,028f7ccf646476d95524c79d2ae9b1a074a8637cd1358c3b26a6f9e694244cff,https://libguides.uark.edu/ld.php?content_id=84051303,https://libguides.uark.edu/chbc-cumes/InorganicChemistry,skipped_exists
Organic Chemistry,2026,C:\Projects\Websites\New Cume Sorting\exams\Organic Chemistry\2026\Organic_Chemistry_Cume_2026-02-13.pdf,60341,89d33751fdddaa6576049b016ac3946621b18b2b6a6586cb5f50641bef003ee2,https://libguides.uark.edu/ld.php?content_id=84051376,https://libguides.uark.edu/chbc-cumes/OrganicChemistry,skipped_exists
Physical Chemistry,2026,C:\Projects\Websites\New Cume Sorting\exams\Physical Chemistry\2026\Physical_Chemistry_Cume_2026-02-13.pdf,121759,deae73499c6652d637a6520a072e1e36a51d4c84c021017552ff601a5e823be2,https://libguides.uark.edu/ld.php?content_id=84051428,https://libguides.uark.edu/chbc-cumes/PhysicalChemistry,skipped_exists
Analytical Chemistry,2026,C:\Projects\Websites\New Cume Sorting\exams\Analytical Chemistry\2026\Analytical_Chemistry_Cume_2026-02-13.pdf,1001340,848be179eb8c0443b4671476f5a74700f1fb6e20c866c8339a5e9e0afbbed009,https://libguides.uark.edu/ld.php?content_id=84049267,https://libguides.uark.edu/chbc-cumes/AnalyticalChemistry,skipped_exists
Biochemistry,2026,C:\Projects\Websites\New Cume Sorting\exams\Biochemistry\2026\Biochemistry_Cume_2026-02-13.pdf,111060,8e80a00152f2b0cbf507e7d033fd9c3d6416bdc66a5a7ba894d4cebb3ca55644,https://libguides.uark.edu/ld.php?content_id=84051243,https://libguides.uark.edu/chbc-cumes/Biochemistry,skipped_exists
Inorganic Chemistry,2026,C:\Projects\Websites\New Cume Sorting\exams\Inorganic Chemistry\2026\Inorganic_Chemistry_Cume_2026-02-13.pdf,116556,028f7ccf646476d95524c79d2ae9b1a074a8637cd1358c3b26a6f9e694244cff,https://libguides.uark.edu/ld.php?content_id=84051303,https://libguides.uark.edu/chbc-cumes/InorganicChemistry,skipped_exists
Organic Chemistry,2026,C:\Projects\Websites\New Cume Sorting\exams\Organic Chemistry\2026\Organic_Chemistry_Cume_2026-02-13.pdf,60341,89d33751fdddaa6576049b016ac3946621b18b2b6a6586cb5f50641bef003ee2,https://libguides.uark.edu/ld.php?content_id=84051376,https://libguides.uark.edu/chbc-cumes/OrganicChemistry,skipped_exists
Physical Chemistry,2026,C:\Projects\Websites\New Cume Sorting\exams\Physical Chemistry\2026\Physical_Chemistry_Cume_2026-02-13.pdf,121759,deae73499c6652d637a6520a072e1e36a51d4c84c021017552ff601a5e823be2,https://libguides.uark.edu/ld.php?content_id=84051428,https://libguides.uark.edu/chbc-cumes/PhysicalChemistry,skipped_exists
Analytical Chemistry,2026,C:\Web app N\Exam Search\Cume-Sort\exams\Analytical Chemistry\2026\Analytical_Chemistry_Cume_2026-02-13.pdf,1001340,848be179eb8c0443b4671476f5a74700f1fb6e20c866c8339a5e9e0afbbed009,https://libguides.uark.edu/ld.php?content_id=84049267,https://libguides.uark.edu/chbc-cumes/AnalyticalChemistry,skipped_exists
Biochemistry,2026,C:\Web app N\Exam Search\Cume-Sort\exams\Biochemistry\2026\Biochemistry_Cume_2026-02-13.pdf,111060,8e80a00152f2b0cbf507e7d033fd9c3d6416bdc66a5a7ba894d4cebb3ca55644,https://libguides.uark.edu/ld.php?content_id=84051243,https://libguides.uark.edu/chbc-cumes/Biochemistry,skipped_exists
Inorganic Chemistry,2026,C:\Web app N\Exam Search\Cume-Sort\exams\Inorganic Chemistry\2026\Inorganic_Chemistry_Cume_2026-02-13.pdf,116556,028f7ccf646476d95524c79d2ae9b1a074a8637cd1358c3b26a6f9e694244cff,https://libguides.uark.edu/ld.php?content_id=84051303,https://libguides.uark.edu/chbc-cumes/InorganicChemistry,skipped_exists
Organic Chemistry,2026,C:\Web app N\Exam Search\Cume-Sort\exams\Organic Chemistry\2026\Organic_Chemistry_Cume_2026-02-13.pdf,60341,89d33751fdddaa6576049b016ac3946621b18b2b6a6586cb5f50641bef003ee2,https://libguides.uark.edu/ld.php?content_id=84051376,https://libguides.uark.edu/chbc-cumes/OrganicChemistry,skipped_exists
Physical Chemistry,2026,C:\Web app N\Exam Search\Cume-Sort\exams\Physical Chemistry\2026\Physical_Chemistry_Cume_2026-02-13.pdf,121759,deae73499c6652d637a6520a072e1e36a51d4c84c021017552ff601a5e823be2,https://libguides.uark.edu/ld.php?content_id=84051428,https://libguides.uark.edu/chbc-cumes/PhysicalChemistry,skipped_exists
